"CustomerID","CustomerName","PhoneNumber","Address","Email"
"0","Anon",NULL,NULL,NULL
"1","Jamie Brown","(261)614-6112","8688 Maple St, Chicago, IL 60602","jamie.brown476@fakemail.net"
"2","Jordan Rodriguez","(707)981-8485","4962 Spruce St, Pittsburgh, PA 15219","jordan.rodriguez8665@fakemail.net"
"3","Emma Miller","(427)315-2601","9353 Birch St, Detroit, MI 48226","emma.miller5765@fakemail.net"
"4","Mia Martin","(675)236-9860","6909 Cedar St, St. Louis, MO 63103","mia.martin6356@fakemail.net"
"5","Ethan Miller","(503)581-5701","908 Maple St, Waukesha, WI 53188","ethan.miller4106@fakemail.net"
"6","Morgan Thompson","(366)948-1526","1681 Poplar St, Owensboro, KY 42303","morgan.thompson6198@fakemail.net"
"7","Taylor Taylor","(777)982-7159","3446 Sycamore St, Fort Wayne, IN 46802","taylor.taylor2872@fakemail.net"
"8","Chris White","(583)450-4997","7950 Pine St, St. Paul, MN 55102","chris.white3731@fakemail.net"
"9","Nora Davis","(762)816-7340","5447 Poplar St, Chicago, IL 60602","nora.davis2357@fakemail.net"
"10","John Wilson","(942)821-8886","7552 Walnut St, Fort Wayne, IN 46802","john.wilson4658@fakemail.net"
"11","John Lee","(602)275-1509","4925 Maple St, Nashville, TN 37210","john.lee4500@fakemail.net"
"12","Liam Brown","(437)691-1260","2121 Walnut St, Mason City, IA 50401","liam.brown4480@fakemail.net"
"13","Mia Wilson","(875)847-4660","6313 Birch St, Marquette, MI 49855","mia.wilson7430@fakemail.net"
"14","Chris Moore","(493)683-7773","8880 Maple St, Mason City, IA 50401","chris.moore2852@fakemail.net"
"15","Noah Thomas","(387)594-3822","4073 Birch St, Skokie, IL 60077","noah.thomas3487@fakemail.net"
"16","Leo Miller","(709)378-7044","3579 Willow St, Indianapolis, IN 46204","leo.miller4963@fakemail.net"
"17","Jordan Davis","(585)165-7235","1311 Walnut St, Des Moines, IA 50309","jordan.davis873@fakemail.net"
"18","Jordan Miller","(441)351-9152","7376 Magnolia St, Pittsburgh, PA 15219","jordan.miller412@fakemail.net"
